동키닭,"진성3길 8, 상가A동 (전하동, 상림시드니)"
중국관상해,미포3길 39 (동부동)
포도청보쌈,전하로 23 (전하동)
교촌치킨(방어점),꽃바위로 265 (방어동)
피치랑,양지5길 6 (화정동)
더만족,해수욕장길 12 (일산동)
빨간우산경양식,전하로 26-1 (전하동)
도탱이,"진성2길 22, 1층 (전하동)"
일산쭈꾸미,"방어진순환도로 630 (일산동, 952-6외 1필지)"
밀밭고을,동진4길 38 (방어동)
화성루,양지5길 6 (화정동)
장원,중진길 52 (방어동)
용성각,"대송로 25, 1층 (일산동)"
고향식당,미포1길 46-3 (동부동)
김밥천국,전하로 38-1 (전하동)
국제통닭 전하점,"전하로 13, 1층 102호 (전하동, 대성상가아파트)"
대송회센타,대송8길 14 (화정동)
이베리코고기깡패,옥류로 12 (동부동)
토속삼계탕,문현로 102 (방어동)
깡통숯불막창,"진성10길 38 (전하동,(1층))"
피자팜스,"문재7길 1, 1층 (방어동)"
채플린,문재7길 1 (방어동)
다모아김밥전문점,동해안로 49 (동부동)
황소곱창,번덕8길 160 (일산동)
(주)일송개발 베이뷰,"해수욕장1길 50 (화정동,2층)"
수정각,명덕2길 5 (서부동)
초밥마켓,"번덕7길 17, 1층 (일산동)"
정보식당,화잠9길 19 (방어동)
포항횟집,중진2길 10 (방어동)
귀족오감킨스폴,학문로 30-1 (일산동)
노방촌,"해수욕장9길 17 (일산동,1,2층)"
제갈콩명,보성길 28 (일산동)
배터지는생돈까스,봉수로 319 (전하동)
서가앤쿡,"해수욕장10길 38 (일산동,1층)"
한솥 꽃바위점,꽃바위5길 55 (방어동)
바보형제쭈꾸미(일산점),해수욕장10길 66 (일산동)
씨포인트(Sea Point),남진길 82 (방어동)
유턴,명덕3길 15 (서부동)
청송 민물매운탕,"학문로 22, 1층 (일산동)"
3 floor(3층),해수욕장길 25 (일산동)
경산아지매,월봉4길 58 (방어동)
장승이백숙,화잠6길 24 (방어동)
루비,학문로 7 (일산동)
해나루우렁쌈밥,대송로 80-1 (화정동)
7080올드팝스레스토랑,진성8길 133 (전하동)
문어이야기,화암7길 5 (방어동)
영미정,진성13길 94 (전하동)
사랑채,미포1길 24 (동부동)
으뜸분식,문현로 40-1 (방어동)
육풍일산지점,"보성길 8 (일산동,1층)"
코리안바베큐,꽃바위로 272-1 (방어동)
돈통 마늘보쌈,문현로 37 (방어동)
옛날파전,"번덕1길 23 (일산동, 466-48)"
릴라돈가스 방어점,"꽃바위로 162 (방어동,2층)"
달성식당,명덕2길 20 (서부동)
도담초밥,꽃바위로 270 (방어동)
상해손짜장,꽃바위로 198-1 (방어동)
두꺼비분식,양지5길 63 (화정동)
튀김나라,대송8길 3 (화정동)
산수정,진성8길 9 (일산동)
라벤더포차,미포2길 45 (동부동)
삼천포초장,"중진길 41, 1층 (방어동)"
탱크맨곰탕전문점,상진길 9 (방어동)
전주콩나물 국밥,화잠로 142 (방어동)
큰손 칼국수,진성2길 20 (전하동)
함박웃음,미포3길 9 (동부동)
김밥천국(화정점),대학길 59 (화정동)
프렌드,방어진순환도로 845-1 (전하동)
소문난원조즉석김밥,남목17길 4 (동부동)
해변구이,"남진1길 21 (방어동, 1145-18)"
네네치킨방어점,화잠2길 4 (방어동)
우리포차,"방어진순환도로 564 (화정동, 655-16)"
통통치킨,내진길 8 (방어동)
궁전횟집,동해안로 684 (주전동)
맨하탄,번덕1길 23 (일산동)
후리지아,옥류로 28-1 (동부동)
친구반점,학문로 22-1 (일산동)
마왕족발,대학길 148 (화정동)
도모다찌,"진성10길 143 (전하동,지상1층)"
동아리,대송1길 23 (화정동)
바닷가 횟집,주전해안길 182 (주전동)
육천뷔페,"진성6길 39 (전하동,지상1층)"
"통대물갈비,국밥",명덕6길 24 (서부동)
승승장구,전하로 16-1 (전하동)
대왕암 아구찜,해수욕장4길 8 (일산동)
투다리(방어점),화진길 40 (방어동)
착한 대박집(일산점),대학길 148 (화정동)
오늘도 우리집 비어,전하로 26 (전하동)
꼬지와친구들,대송로 58 (화정동)
